,Property_ID,Property_Name,Property_Type,Property_Purpose,Baths,Bedrooms,City,Property_Location,Area,Area_Name,Properity_Price,Date_Added
37,House 42898138,10 Marla House For Rent In Dha Lahore Phase 3,House,For Rent,5,4,Lahore,"DHA Defence, Lahore, Punjab",10 ,DHA Defence,200000,14/12/2022
38,House 42622591,100 Original Picture Defence 5 Marla Brand New Faisal Rasool Design House For Rent Phase 9,House,For Rent,4,3,Lahore,"DHA Defence, Lahore, Punjab",5 ,DHA Defence,85000,14/12/2022
39,House 42839990,House For Rent In Dha Phase 6 Block B,House,For Rent,6,5,Lahore,"DHA Defence, Lahore, Punjab",20.0,DHA Defence,400000,14/12/2022
40,House 42728228,5 Marla Full Furnished Residential House Is Available For Rent In Bahria Town Sector B Umar Block Lahore,House,For Rent,5,4,Lahore,"Bahria Town, Lahore, Punjab",5 ,Bahria Town,300000,07/12/2022
41,House 42697979,New And Beautiful House For Rent,House,For Rent,3,3,Lahore,"Punjab Coop Housing Society, Lahore, Punjab",20.0,Punjab Coop Housing Society,70000,07/12/2022
42,House 42719407,10 Marla House For Rent Available Attach Bath 1 Servant Quarter  Prime Location,House,For Rent,4,3,Lahore,"Gulberg, Lahore, Punjab",10 ,Gulberg,200000,07/12/2022
43,House 42616022,8 Marla House For Rent Available 2 Big Hall Atach Bath 2 Rooms,House,For Rent,2,2,Lahore,"Gulberg, Lahore, Punjab",8 ,Gulberg,200000,07/12/2022
44,House 42549963,12 Marla House For Rent Available 8 Bad Attach Bath,House,For Rent,6,8,Lahore,"Jail Road, Lahore, Punjab",12 ,Jail Road,300000,07/12/2022
45,House 41955478,5 Marla BRAND NEW House available for rent in Sctor D Bahria Town,House,For Rent,4,3,Lahore,"Bahria Town, Lahore, Punjab",5 ,Bahria Town,70000,1 day
46,House 42134180,Brand New 5 Marla House Available For Rent In Block C Canal Garden,House,For Rent,6,5,Lahore,"Canal Garden, Lahore, Punjab",5 ,Canal Garden,55000,1 day
47,House 41587354,10 Marla 4 Bedrooms House Available For Rent Located In Sector E Askari 10 Lahore Cantt,House,For Rent,4,4,Lahore,"Askari, Lahore, Punjab",10 ,Askari,200000,1 day
48,House 42739071,10.66 Marla 4 Bedrooms House Facing Park Available For Rent Located In Sector B Askari 10 Lahore Cantt,House,For Rent,4,4,Lahore,"Askari, Lahore, Punjab",10.7 ,Askari,200000,1 day
49,House 42740988,5 MARLA BARND NEW FRIST ENTRY FULL HOUSE FOR RENT IN CC BLOCK BAHRIA TOWN LAHORE,House,For Rent,5,3,Lahore,"Bahria Town, Lahore, Punjab",5 ,Bahria Town,65000,1 day
50,House 42795911,1 Kanal Brand New Full Basement Fully Furnished With Imported Furniture House For Rent,House,For Rent,7,6,Lahore,"DHA Defence, Lahore, Punjab",20.0,DHA Defence,700000,1 day
51,House 42597235,Ideal Location 10 Marla Full House Is Available For Rent In Dha Phase 3,House,For Rent,4,4,Lahore,"DHA Defence, Lahore, Punjab",10 ,DHA Defence,200000,1 day
52,House 43188317,5 Marla Brand New Modern Design House For Rent In Dha Phase 9 Lahore.,House,For Rent,4,3,Lahore,"DHA Defence, Lahore, Punjab",5 ,DHA Defence,59000,28/12/2022
53,House 43188297,New 20 Marla House Available For Rent In DHA Phase 6 Lahore,House,For Rent,6,5,Lahore,"DHA Defence, Lahore, Punjab",20.0,DHA Defence,200000,28/12/2022
54,House 43188245,New 20 Marla House Available For Rent In DHA Phase 6 Lahore,House,For Rent,6,5,Lahore,"DHA Defence, Lahore, Punjab",20.0,DHA Defence,300000,28/12/2022
55,House 43188201,5 MARLA BRAND NEW HOUSE FOR RENT TOP LOCATION,House,For Rent,4,3,Lahore,"DHA Defence, Lahore, Punjab",5 ,DHA Defence,65000,28/12/2022
56,House 43188205,10 Marla Luxury Modern House For Rent At Prime Location,House,For Rent,5,4,Lahore,"DHA Defence, Lahore, Punjab",10 ,DHA Defence,200000,28/12/2022
57,House 43188176,New 10 Marla House Available For Rent In DHA Phase 5 Lahore,House,For Rent,5,4,Lahore,"DHA Defence, Lahore, Punjab",10 ,DHA Defence,200000,28/12/2022
58,House 42891743,Beautiful Location 10 Marla Full House Is Available For Rent In Dha Phase 4,House,For Rent,5,4,Lahore,"DHA Defence, Lahore, Punjab",10 ,DHA Defence,200000,28/12/2022
59,House 43188071,5 MARLA DESIGNER HOUSE FOR RENT TOP LOCATION,House,For Rent,4,3,Lahore,"DHA Defence, Lahore, Punjab",5 ,DHA Defence,60000,28/12/2022
60,Flat 43050666,Furnished Studio Luxury  Apartment In Goldcrest Mall And Residency,Flat,For Rent,2,1,Lahore,"DHA Defence, Lahore, Punjab",2.8 ,DHA Defence,95000,1 week
61,Flat 43043978,3 Beds Brand New Luxury Apartment for Rent in Askari 11 Sector B Lahore,Flat,For Rent,4,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,74000,1 week
62,Flat 42656661,"3 Bed Room Apartment For Rent in Army Officers Housing Scheme Askari-XI, Lahore",Flat,For Rent,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,70000,1 week
63,Flat 41898325,Furnished Flat Of 4  Marla Available For rent In Muslim Town,Flat,For Rent,3,3,Lahore,"Muslim Town, Lahore, Punjab",4 ,Muslim Town,95000,1 week
64,Flat 43026993,1 bed Brand New Apartment Available On Rent in Sector-E at Top Hot Location of Bahria Town Lahore.,Flat,For Rent,1,1,Lahore,"Bahria Town, Lahore, Punjab",2.4 ,Bahria Town,27000,1 week
65,Flat 42973516,10 Marla 03 Bedroom Second Floor Apartment Available For Rent In Askari 10 Sector-f Lahore Cantt,Flat,For Rent,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,85000,1 week
66,Flat 42827370,Fully Furnished 3 Beds 3 Bath Room Drawing Room Dining Room Tv Lounge Kitchen Servant Quarter.,Flat,For Rent,3,3,Lahore,"Gulberg, Lahore, Punjab",8 ,Gulberg,200000,1 week
67,Flat 42976925,10 Marla 3 Bed Apartment For Rent in Askari 10,Flat,For Rent,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,90000,1 week
68,Flat 42763296,Furnish Flat For Rent,Flat,For Rent,1,2,Lahore,"Allama Iqbal Town, Lahore, Punjab",4 ,Allama Iqbal Town,30000,1 week
69,Flat 42761578,Furnished Apartment Available,Flat,For Rent,2,2,Lahore,"Shah Jamal, Lahore, Punjab",4 ,Shah Jamal,100000,1 week
70,Flat 42950981,1 Bed Brand New Apartment For Rent,Flat,For Rent,1,1,Lahore,"Bahria Town, Lahore, Punjab",2.3 ,Bahria Town,30000,1 week
71,Flat 42620064,Abrar Estate Offers Furnished Flat For Rent Brand New In Muslim Town Near Canal Road,Flat,For Rent,2,2,Lahore,"Muslim Town, Lahore, Punjab",5 ,Muslim Town,75000,1 week
72,Flat 42705530,10 Marla 3 Bedroom Flat For Rent In Askari 11 Lahore,Flat,For Rent,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,65000,1 week
73,Flat 35808764,2 Bed Fully Furnished Apartment Available For Rent In Sector C Bahria Town,Flat,For Rent,2,2,Lahore,"Bahria Town, Lahore, Punjab",3.1 ,Bahria Town,70000,1 week
74,Flat 42912012,10 Marla Flat Ground Floor For Rent In Askari 11 Lahore,Flat,For Rent,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,70000,1 week
75,Flat 42589129,1 Bed Luxury Family Furnish Apartment For Rent Original Picture,Flat,For Rent,1,1,Lahore,"Bahria Town, Lahore, Punjab",2 ,Bahria Town,38000,1 week
76,Flat 42997548,3 Marla Apartment Available For Rent,Flat,For Rent,1,2,Lahore,"Eden, Lahore, Punjab",3 ,Eden,24000,1 week
77,Flat 42755231,1 Bed Fully Furnished Apartments Available For Rent In Bahria Town Lahore,Flat,For Rent,1,1,Lahore,"Bahria Town, Lahore, Punjab",2.4 ,Bahria Town,50000,28/12/2022
78,Flat 42791374,Defence View Apartment Dvd,Flat,For Rent,2,2,Lahore,"Shanghai Road, Lahore, Punjab",5.3 ,Shanghai Road,50000,28/12/2022
79,Flat 43175964,2 Bedroom Luxury Apartments For Rent At Very Reasonable Price Best For Families,Flat,For Rent,2,2,Lahore,"Valencia Housing Society, Lahore, Punjab",5 ,Valencia Housing Society,50000,28/12/2022
80,Flat 43175891,10 Marla Flat Situated In Askari 11 - Sector B Apartments For rent,Flat,For Rent,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,65000,28/12/2022
81,Flat 43175888,Flat Of 10 Marla Is Available In Contemporary Neighborhood Of Askari,Flat,For Rent,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,67000,28/12/2022
82,Flat 43175868,Spacious Flat Is Available For rent In Ideal Location Of Askari 11 - Sector B Apartments,Flat,For Rent,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,72000,28/12/2022
83,Flat 43175874,Flat In Askari 11 - Sector B Apartments For rent,Flat,For Rent,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,68000,28/12/2022
84,Flat 43175710,Centrally Located Flat Available In Askari 11 - Sector B Apartments For rent,Flat,For Rent,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,75000,28/12/2022
85,Flat 43095149,1 Bed Luxury Apartment For Sale On Easy Monthly Installment Plan In Etihad Town,Flat,For Sale,1,1,Lahore,"Raiwind Road, Lahore, Punjab",2.8 ,Raiwind Road,8000000,24/12/2022
86,Flat 43089431,FULLY FURNISHED LUXURY STUDIO APARTMENT FOR SALE ON EASY INSTALLMENT PLAN IN PHASE 4 BAHRIA ORCHARD,Flat,For Sale,1,-,Lahore,"Bahria Orchard, Lahore, Punjab",1.4 ,Bahria Orchard,3500000,24/12/2022
87,Flat 43089433,FULLY FURNISHED DELUXE STUDIO APARTMENT FOR SALE ON EASY MONTHLY INSTALLMENT PLAN IN PHASE 4 BAHRIA ORCHARD,Flat,For Sale,1,-,Lahore,"Bahria Orchard, Lahore, Punjab",1.6 ,Bahria Orchard,4300000,24/12/2022
88,Flat 43068351,FULLY FURNISHED LUXURY STUDIO APARTMENT FOR SALE ON INSTALLMENTS PLAN IN IQBAL BLOCK BAHRIA TOWN,Flat,For Sale,1,-,Lahore,"Bahria Town, Lahore, Punjab",1.5 ,Bahria Town,5200000,24/12/2022
89,Flat 42895171,10 Marla 3 Bedrooms Flat Available for Sale In askari 10 Sector F Lahore.,Flat,For Sale,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,40000000,24/12/2022
90,Flat 42919699,Autograph Apartments Dha Phase 5 M Block Available For (resale),Flat,For Sale,2,1,Lahore,"DHA Defence, Lahore, Punjab",3.1 ,DHA Defence,20000000,24/12/2022
91,Flat 37105353,Semi Furnished Luxury Apartment For Sale In Iqbal Block Bahria Town Lahore,Flat,For Sale,1,1,Lahore,"Bahria Town, Lahore, Punjab",2.3 ,Bahria Town,4000000,24/12/2022
92,Flat 43044646,10 Marla Ground Floor 3 Bedroom Apartment Available For Sale in Askari 5 Lahore,Flat,For Sale,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,30000000,24/12/2022
93,Flat 43069742,12 Marla 4 Bedrooms Apartment Available For Sale In Sector F Askari 10 Lahore Cantt,Flat,For Sale,4,4,Lahore,"Askari, Lahore, Punjab",12 ,Askari,50000000,24/12/2022
94,Flat 43070028,10 Marla 3 Bedrooms Apartment Available For Sale In Sector F Askari 10 Lahore Cantt,Flat,For Sale,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,40000000,24/12/2022
95,Flat 42844459,"Brand New10 Marla 3 Bedroom Flat Available For Sale In Askari 10 Sector F Lahore,",Flat,For Sale,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,40000000,23/12/2022
96,Flat 42582371,"10 Marla 3 Bedroom With Attached Washroom Flat Available For Sale In Askari 10 Sector F Lahore Cantt,",Flat,For Sale,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,40000000,23/12/2022
97,Flat 43182420,625 Square Ft 01 Bedroom Luxury Apartment With Monthly Rental Income For Sale In Defence View Apartments,Flat,For Sale,1,1,Lahore,"Shanghai Road, Lahore, Punjab",2.8 ,Shanghai Road,9000000,28/12/2022
98,Flat 43182394,520 Square Feet Furnish Apartment Available For Sale In Sector C Bahria Town Lahore.,Flat,For Sale,2,1,Lahore,"Bahria Town, Lahore, Punjab",2.3 ,Bahria Town,6500000,28/12/2022
99,Flat 43182119,1 Bed Luxury Apartments for Sale on Installments in Sector E Bahria Town Lahore,Flat,For Sale,1,1,Lahore,"Bahria Town, Lahore, Punjab",2.1 ,Bahria Town,5800000,28/12/2022
100,Flat 43181831,"10 Marla, 3  Bedroom Flat  Is Available For Sale In Askari Xi Lahore",Flat,For Sale,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,30000000,28/12/2022
101,Flat 42878983,A Palatial Residence For sale In Time Square Mall & Residencia Lahore,Flat,For Sale,2,2,Lahore,"Bahria Orchard, Lahore, Punjab",3.9 ,Bahria Orchard,20000000,28/12/2022
102,Flat 43181025,Book Flat Today In Cavalry Ground,Flat,For Sale,6,5,Lahore,"Cavalry Ground, Lahore, Punjab",32.0,Cavalry Ground,110000000,28/12/2022
103,Flat 43180997,1 BED LUXURY APARTMENT FOR SALE ON EASY MONTHLY INSTALLMENT PLAN IN ETIHAD TOWN,Flat,For Sale,1,1,Lahore,"Raiwind Road, Lahore, Punjab",2.8 ,Raiwind Road,8000000,28/12/2022
104,Flat 43180998,Luxury 3 Bed Apartment For Sale On Easy Monthly Installments In Etihad Town,Flat,For Sale,3,3,Lahore,"Raiwind Road, Lahore, Punjab",8 ,Raiwind Road,30000000,28/12/2022
105,House 43106532,12 Marla Spanish Brand New House Facing 45 Feet Road For Sale In Sector M-1 Lake City Lahore,House,For Sale,6,5,Lahore,"Raiwind Road, Lahore, Punjab",12 ,Raiwind Road,50000000,1 day
106,House 43166527,Leads Offer 2 Kanal Out Of Market Modern Design Bungalow For Sale In Dha Phase 7,House,For Sale,8,7,Lahore,"DHA Defence, Lahore, Punjab",40.0,DHA Defence,150000000,1 day
107,House 42661033,2 Kanal Fully Furnished Faisal Rasul Design Classical Bungalow For Sale In Phase 5,House,For Sale,7,6,Lahore,"DHA Defence, Lahore, Punjab",40.0,DHA Defence,300000000,1 day
108,House 40370807,5- Marla Brand New House Available For Sale In Lake City.,House,For Sale,4,4,Lahore,"Raiwind Road, Lahore, Punjab",5 ,Raiwind Road,20000000,1 day
109,House 43091016,One Kanal Spanish Bungalow For Sale At Top Location Near Macdonald Park,House,For Sale,6,5,Lahore,"DHA Defence, Lahore, Punjab",20.0,DHA Defence,70000000,1 day
110,House 42939053,1 Kanal Spanish Bungalow Is Available For Sale In Nespak Housing Scheme Phase 2 Site 1 Block C Lahore,House,For Sale,8,5,Lahore,"Main Canal Bank Road, Lahore, Punjab",20.0,Main Canal Bank Road,70000000,26/12/2022
111,House 43083431,Buy A 9.5 Marla House For sale In Central Park - Block A,House,For Sale,4,3,Lahore,"Central Park Housing Scheme, Lahore, Punjab",9.5 ,Central Park Housing Scheme,20000000,26/12/2022
112,House 43053980,5 Marla Beautiful Brand New House Available For Sale In New Lahore City Block A Ext,House,For Sale,4,3,Lahore,"New Lahore City, Lahore, Punjab",5 ,New Lahore City,20000000,26/12/2022
113,House 42979302,10 Marla 7 Bed Vip Location For Sale,House,For Sale,6,7,Lahore,"Allama Iqbal Town, Lahore, Punjab",10 ,Allama Iqbal Town,40000000,26/12/2022
114,House 42956845,2 Kanal Semi Commercial House Ideal For Any Business,House,For Sale,6,9,Lahore,"Allama Iqbal Town, Lahore, Punjab",40.0,Allama Iqbal Town,130000000,26/12/2022
115,House 42193250,Superb Location 10 Marla House Available For Sale In Wapda Town Near Shaukat Khanum,House,For Sale,8,7,Lahore,"Wapda Town, Lahore, Punjab",10 ,Wapda Town,40000000,28/12/2022
116,House 43023278,HOUSE FOR SALE IN ASKARI 11,House,For Sale,4,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,40000000,28/12/2022
117,House 41497906,Reserve A House Of 3 Marla Now In Al Rehman Garden Phase 2,House,For Sale,3,3,Lahore,"Al Rehman Garden, Lahore, Punjab",3 ,Al Rehman Garden,8000000,28/12/2022
118,House 43094160,Prime Location 6 Marla House In Al Rehman Phase 2 - Block D Is Best Option,House,For Sale,4,4,Lahore,"Al Rehman Garden, Lahore, Punjab",6 ,Al Rehman Garden,20000000,28/12/2022
119,House 43069223,3 Marla Attractive House Available At Hot Location In Gulshan Park,House,For Sale,4,3,Lahore,"Gulshan Park, Lahore, Punjab",3 ,Gulshan Park,9000000,28/12/2022
120,House 42570585,1 Kanal Modern Design Luxury Bungalow For Sale At Prime Location Of Dha,House,For Sale,6,5,Lahore,"DHA Defence, Lahore, Punjab",20.0,DHA Defence,70000000,28/12/2022
121,House 42835347,Investor Price Villa,House,For Sale,6,5,Lahore,"State Life Housing Society, Lahore, Punjab",20.0,State Life Housing Society,50000000,28/12/2022
122,House 43192287,9 Marla House Is Available For sale In TIP Housing Society,House,For Sale,-,-,Lahore,"TIP Housing Society, Lahore, Punjab",9 ,TIP Housing Society,30000000,1 hour
123,House 43192286,Get In Touch Now To Buy A 10 Marla House In Jubilee Town - Block A Lahore,House,For Sale,-,-,Lahore,"Jubilee Town, Lahore, Punjab",10 ,Jubilee Town,30000000,1 hour
124,House 43126010,5 Marla House In Green City For sale,House,For Sale,4,3,Lahore,"Green City, Lahore, Punjab",5 ,Green City,30000000,1 hour
125,House 43126013,House For sale In Green City,House,For Sale,4,3,Lahore,"Green City, Lahore, Punjab",5 ,Green City,30000000,1 hour
126,House 43126014,Buy A House Of 5 Marla In Green City,House,For Sale,4,3,Lahore,"Green City, Lahore, Punjab",5 ,Green City,30000000,1 hour
127,House 43126016,Ready To sale A House 5 Marla In Green City Green City,House,For Sale,4,3,Lahore,"Green City, Lahore, Punjab",5 ,Green City,30000000,1 hour
128,House 43126018,Perfect 5 Marla House In Green City For sale,House,For Sale,4,3,Lahore,"Green City, Lahore, Punjab",5 ,Green City,30000000,1 hour
129,House 43126020,"Ideal 5 Marla House Available In Green City, Green City",House,For Sale,4,3,Lahore,"Green City, Lahore, Punjab",5 ,Green City,30000000,1 hour
130,House 42973357,1 Kanal Beautiful House Available For Rent,House,For Rent,6,5,Lahore,"Bahria Town, Lahore, Punjab",20.0,Bahria Town,300000,1 week
131,House 43165661,Rent One Kanal House For Silence Office Johar Town G1 Market,House,For Rent,6,6,Lahore,"Johar Town, Lahore, Punjab",20.0,Johar Town,300000,1 day
132,House 43052204,1 Kanal house Available For Rent DHA Phase 4,House,For Rent,6,6,Lahore,"DHA Defence, Lahore, Punjab",20.0,DHA Defence,200000,1 week
133,House 42609190,5 MARLA FULL HOUSE AVAILABLE FOR RENT NEAR COMMERCIAL MARKET,House,For Rent,4,4,Lahore,"Punjab University Employees Society, Lahore, Punjab",5 ,Punjab University Employees Society,55000,14/12/2022
134,House 42134292,Brand New 10 Marla House Available For Rent In Block C Canal Garden,House,For Rent,6,5,Lahore,"Canal Garden, Lahore, Punjab",10 ,Canal Garden,100000,1 day
135,House 43039584,TASK EST OFFER O1 KANAL Full Basement Beautifully full furnished luxury House Available for Rent Hot Location Very Reasonable DHA Phase 6,House,For Rent,7,6,Lahore,"DHA Defence, Lahore, Punjab",20.0,DHA Defence,400000,1 day
136,House 38893142,5 Marla House Available On Rent On Prime Location In Lake City Lahore,House,For Rent,2,3,Lahore,"Raiwind Road, Lahore, Punjab",5 ,Raiwind Road,35000,1 day
137,House 43164947,5 Marla Fully Furnished House Available For Rent,House,For Rent,4,3,Lahore,"DHA Defence, Lahore, Punjab",5 ,DHA Defence,200000,1 day
138,House 42707900,24 Marla  Brand New Spanish 5 Bed Corner House Available For Rent In Hot Location Of Dha Phase 7,House,For Rent,6,5,Lahore,"DHA Defence, Lahore, Punjab",24.0,DHA Defence,200000,1 day
139,House 43162348,5 Marla House DHA 9 Town available for Rent,House,For Rent,4,3,Lahore,"DHA Defence, Lahore, Punjab",5 ,DHA Defence,60000,1 day
140,House 42649722,"Kanal Modern, Grand Lavish Brand New Bungalow for Rent",House,For Rent,6,5,Lahore,"DHA Defence, Lahore, Punjab",20.0,DHA Defence,300000,1 day
141,House 43161178,Askari 10 Sec E House Available For Rent,House,For Rent,4,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,100000,1 day
142,House 42888515,7 Marla Double Story Available For Rent.,House,For Rent,5,5,Lahore,"Nawab Town, Lahore, Punjab",7 ,Nawab Town,70000,1 day
