,Property_ID,Property_Name,Property_Type,Property_Purpose,Baths,Bedrooms,City,Property_Location,Area,Area_Name,Properity_Price,Date_Added
46,House 43127771,5 Marla Double Storey House Is Available For Sale In Qutbal Town Islamabad,House,For Sale,3,3,Islamabad,"Qutbal Town, Islamabad, Islamabad Capital",5 ,Qutbal Town,20000000,26/12/2022
47,House 41687368,8marla Park Face House Up For Sale,House,For Sale,6,5,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",8 ,Bahria Town,40000000,28/12/2022
48,House 41873353,Corner 10 Marla House With Basement Up For Sale,House,For Sale,8,7,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",10 ,Bahria Town,60000000,28/12/2022
49,House 43168865,Ideally Located House Of 500 Square Yards Is Available For sale In E-11,House,For Sale,7,7,Islamabad,"E-11, Islamabad, Islamabad Capital",20.0,E-11,160000000,28/12/2022
50,House 40914413,Prime Location Brand New Designer House With Extra Land  For Sale In D-12/4 Islamabad,House,For Sale,4,3,Islamabad,"D-12, Islamabad, Islamabad Capital",4.4 ,D-12,40000000,28/12/2022
51,House 41725427,Old House For Sale In G-6 2,House,For Sale,3,3,Islamabad,"G-6, Islamabad, Islamabad Capital",10 ,G-6,60000000,28/12/2022
52,House 41972080,Corner House For Sale In G-6,House,For Sale,6,6,Islamabad,"G-6, Islamabad, Islamabad Capital",8 ,G-6,60000000,28/12/2022
53,House 40685415,2.5 Storey House For Sale In PWD,House,For Sale,6,7,Islamabad,"PWD Housing Scheme, Islamabad, Islamabad Capital",9.3 ,PWD Housing Scheme,40000000,28/12/2022
54,House 43192049,F11 Margalla Road 666 Sq Yard House For Sale,House,For Sale,6,8,Islamabad,"F-11, Islamabad, Islamabad Capital",26.0,F-11,200000000,28/12/2022
55,House 43191953,F11.4 (1022) Sq Yard House  For Sale Very Prime Location,House,For Sale,6,8,Islamabad,"F-11, Islamabad, Islamabad Capital",40.0,F-11,350000000,28/12/2022
56,House 42524240,40*80 Newly Built Double Storey House For Sale On Reasonable Price.,House,For Sale,6,6,Islamabad,"I-8, Islamabad, Islamabad Capital",14.2 ,I-8,110000000,28/12/2022
57,House 42524296,CORNER SINGLE STOREY HOUSE FOR SALE ON REASONABLE PRICE.,House,For Sale,3,3,Islamabad,"I-8, Islamabad, Islamabad Capital",14 ,I-8,90000000,28/12/2022
58,House 42593901,New Double Storey House For Sale On Reasonable Price.,House,For Sale,6,6,Islamabad,"I-8, Islamabad, Islamabad Capital",14 ,I-8,110000000,28/12/2022
59,House 43191911,F11.4 (1022) Sq Yard House  For Sale Very Prime Location,House,For Sale,6,6,Islamabad,"F-11, Islamabad, Islamabad Capital",40.0,F-11,300000000,28/12/2022
60,House 43152916,This Is Your Chance To Buy House In Islamabad,House,For Sale,7,7,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",20.0,Soan Garden,50000000,28/12/2022
61,House 42843637,Proper Corner Triple Storey House For Sale On Reasonable Price.,House,For Sale,-,9,Islamabad,"I-8, Islamabad, Islamabad Capital",12.5 ,I-8,100000000,28/12/2022
62,House 42630408,Brand New House For Rent In F-8,House,For Rent,6,8,Islamabad,"F-8, Islamabad, Islamabad Capital",20.0,F-8,1200000,25/12/2022
63,House 36374314,Ideally Located House Available For Rent In F-7 Islamabad,House,For Rent,5,4,Islamabad,"F-7, Islamabad, Islamabad Capital",26.0,F-7,700000,24/12/2022
64,House 42579045,House Is Available For Rent In Islamabad,House,For Rent,6,6,Islamabad,"F-6, Islamabad, Islamabad Capital",40.0,F-6,1500000,24/12/2022
65,House 20009015,F6 Prime Location Ambassador Level Excellent Luxury House For Rent,House,For Rent,7,6,Islamabad,"F-6, Islamabad, Islamabad Capital",40.0,F-6,500000,24/12/2022
66,House 21865881,F-7 In Beautiful House Big Lawn Primary Location House For Rent,House,For Rent,6,5,Islamabad,"F-7, Islamabad, Islamabad Capital",26.0,F-7,400000,24/12/2022
67,House 36256077,Brand New House For Rent In F6,House,For Rent,6,5,Islamabad,"F-6, Islamabad, Islamabad Capital",20.0,F-6,600000,24/12/2022
68,House 36259654,Beautiful House For Rent In F6,House,For Rent,6,6,Islamabad,"F-6, Islamabad, Islamabad Capital",40.0,F-6,600000,24/12/2022
69,House 36257324,Fully Furnished House For Rent In F7,House,For Rent,9,8,Islamabad,"F-7, Islamabad, Islamabad Capital",26.0,F-7,1000000,24/12/2022
70,House 43042731,New 07 Bedrooms Triple Storey Designer House,House,For Rent,7,7,Islamabad,"D-12, Islamabad, Islamabad Capital",20.0,D-12,400000,26/12/2022
71,House 42818580,"1 Kanal 9 Bed Room  Ground And Besment In E/11 Available For Rent
 Demond Rent:300,000 Rupee's",House,For Rent,-,9,Islamabad,"E-11, Islamabad, Islamabad Capital",20.0,E-11,300000,27/12/2022
72,House 42233479,500 Sqyd Ground Plus Upper Portion With Double Kitchen Available For Rent F 8 Only Foreigners,House,For Rent,4,4,Islamabad,"F-8, Islamabad, Islamabad Capital",20.0,F-8,700000,26/12/2022
73,House 41370212,800 Sqyd Renovated Double Storey House Is Available Rent,House,For Rent,5,5,Islamabad,"F-7, Islamabad, Islamabad Capital",32.0,F-7,900000,26/12/2022
74,House 43166744,Like Brand New 7 Bedroom Full House In F-8 For Rent,House,For Rent,7,7,Islamabad,"F-8, Islamabad, Islamabad Capital",20.0,F-8,1100000,27/12/2022
75,House 43145078,"5 Marla Beautiful Sbrand New Ingle (dedh) Storey Independent House For Bachelors For Rent Ghauri Town Ph 5a, Islamabad",House,For Rent,4,3,Islamabad,"Ghauri Town, Islamabad, Islamabad Capital",5 ,Ghauri Town,35000,27/12/2022
76,House 43166294,Like Brand New Fully Furnished 5 Bedroom Full House In E-7 For Rent,House,For Rent,5,5,Islamabad,"E-7, Islamabad, Islamabad Capital",20.0,E-7,1400000,27/12/2022
77,House 42808338,Bueatiful House Available For Rent,House,For Rent,5,4,Islamabad,"F-8, Islamabad, Islamabad Capital",20.0,F-8,600000,27/12/2022
78,House 43075632,D-12/2 Brand New 4 Bedrooms  Ground Plus Basement For Rent,House,For Rent,4,4,Islamabad,"D-12, Islamabad, Islamabad Capital",10 ,D-12,200000,27/12/2022
79,House 43153125,Stunning House Is Available For rent In Soan Garden,House,For Rent,2,2,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",7 ,Soan Garden,40000,28/12/2022
80,House 43153124,1 Kanal House Ideally Situated In CBR Town Phase 1,House,For Rent,6,6,Islamabad,"CBR Town, Islamabad, Islamabad Capital",20.0,CBR Town,200000,28/12/2022
81,House 43191653,Primary location Triple Story Renovated beautiful house for rent 4500,House,For Rent,7,6,Islamabad,"E-7, Islamabad, Islamabad Capital",26.0,E-7,900000,28/12/2022
82,House 43191569,A Graceful Freshly Painted 6 Bed House Is Available For Rent,House,For Rent,6,6,Islamabad,"F-6, Islamabad, Islamabad Capital",24.0,F-6,800000,28/12/2022
83,House 43153133,7 Marla House In Stunning Soan Garden Is Available For rent,House,For Rent,2,2,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",7 ,Soan Garden,40000,28/12/2022
84,House 43191111,House With Extra Land Beautiful Garden And Margalla View. triple Story,House,For Rent,8,7,Islamabad,"F-7, Islamabad, Islamabad Capital",40.0,F-7,1300000,28/12/2022
85,House 43093314,Full House For Rent,House,For Rent,6,6,Islamabad,"E-11, Islamabad, Islamabad Capital",8 ,E-11,200000,28/12/2022
86,House 42443220,8 Marla House In MPCHS - Multi Gardens For rent,House,For Rent,-,4,Islamabad,"B-17, Islamabad, Islamabad Capital",8 ,B-17,70000,28/12/2022
87,Flat 42923755,The Royal Mall and Residency Flat For rent Sized 950 Square Feet,Flat,For Rent,1,1,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",4.2 ,Bahria Town,50000,27/12/2022
88,Flat 42923756,1700 Square Feet Flat In The Royal Mall and Residency,Flat,For Rent,3,3,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",7.6 ,Bahria Town,85000,27/12/2022
89,Flat 42923757,Book A 2100 Square Feet Flat In The Royal Mall and Residency,Flat,For Rent,-,-,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",9.3 ,Bahria Town,70000,27/12/2022
90,Flat 42923788,Get A 1700 Square Feet Flat For rent In The Royal Mall and Residency,Flat,For Rent,3,3,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",7.6 ,Bahria Town,85000,27/12/2022
91,Flat 42923792,1700 Square Feet Flat For rent In The Royal Mall and Residency,Flat,For Rent,3,3,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",7.6 ,Bahria Town,85000,27/12/2022
92,Flat 42923793,2100 Square Feet Flat For rent In The Royal Mall and Residency,Flat,For Rent,-,-,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",9.3 ,Bahria Town,70000,27/12/2022
93,Flat 42923797,Ideal Flat In Islamabad Available For,Flat,For Rent,-,-,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",8.9 ,Bahria Town,200000,27/12/2022
94,Flat 42923841,Get This Amazing 2000 Square Feet Flat Available In The Royal Mall and Residency,Flat,For Rent,-,-,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",8.9 ,Bahria Town,200000,27/12/2022
95,Flat 42923835,Perfect 1700 Square Feet Flat In The Royal Mall and Residency For rent,Flat,For Rent,3,3,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",7.6 ,Bahria Town,85000,27/12/2022
96,Flat 42576959,Four Bedroom Furnished Apartment,Flat,For Rent,5,4,Islamabad,"Constitution Avenue, Islamabad, Islamabad Capital",17.8 ,Constitution Avenue,800000,27/12/2022
97,Flat 42656787,2 Bedroom Flat Available For Rent In Creek Heights Apartments,Flat,For Rent,2,2,Islamabad,"River Garden, Islamabad, Islamabad Capital",4.9 ,River Garden,35000,27/12/2022
98,Flat 42839488,"4 Bed Room 1st Floor Apartment For Rent Askari Tower 1, DHA Phase 2,",Flat,For Rent,4,4,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",13.1 ,DHA Defence,95000,27/12/2022
99,Flat 41918890,Two Bed Luxury Furnished Apartment Available For Rent In E -11 Islamabad.,Flat,For Rent,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",6.2 ,E-11,90000,28/12/2022
100,Flat 41917535,One Bed Luxury Furnished Apartment Available For Rent In E 11 Islamabad,Flat,For Rent,1,1,Islamabad,"E-11, Islamabad, Islamabad Capital",3.8 ,E-11,60000,28/12/2022
101,Flat 43181849,1 Bed Flat Available For Rent,Flat,For Rent,1,1,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",2.3 ,Bahria Town,30000,28/12/2022
102,Flat 42849994,E11 Original Pictures 2 Beds Drawing Room Flat Separate Gas Electricity Meters Car Parking,Flat,For Rent,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",5.3 ,E-11,50000,28/12/2022
103,Flat 21980378,Three Bedrooms Apartment For Rent At Dha Phase 2,Flat,For Rent,4,3,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",6.7 ,DHA Defence,45000,28/12/2022
104,Flat 43191676,Flat In E-11 For rent,Flat,For Rent,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",5.6 ,E-11,100000,28/12/2022
105,Flat 43191673,Centrally Located Flat In E-11 Is Available For rent,Flat,For Rent,3,3,Islamabad,"E-11, Islamabad, Islamabad Capital",7.1 ,E-11,200000,28/12/2022
106,Flat 43191674,Avail Yourself A Great 1250 Square Feet Flat In E-11,Flat,For Rent,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",5.6 ,E-11,100000,28/12/2022
107,Flat 43191672,E-11 1250 Square Feet Flat Up For rent,Flat,For Rent,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",5.6 ,E-11,100000,28/12/2022
108,Flat 43191670,1250 Square Feet Flat In E-11 Of E-11 Is Available For rent,Flat,For Rent,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",5.6 ,E-11,100000,28/12/2022
109,Flat 43191671,Flat Of 1600 Square Feet In E-11 For rent,Flat,For Rent,3,3,Islamabad,"E-11, Islamabad, Islamabad Capital",7.1 ,E-11,200000,28/12/2022
110,Flat 43191669,1600 Square Feet Flat For rent In E-11 E-11,Flat,For Rent,3,3,Islamabad,"E-11, Islamabad, Islamabad Capital",7.1 ,E-11,200000,28/12/2022
111,Flat 43191668,Centrally Located Flat For rent In E-11 Available,Flat,For Rent,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",5.6 ,E-11,100000,28/12/2022
112,Flat 42838389,One Bed Brand New Luxury Apartments For Sale.,Flat,For Sale,1,1,Islamabad,"G-15, Islamabad, Islamabad Capital",2.8 ,G-15,9000000,27/12/2022
113,Flat 42723682,Signature Hotels Flat,Flat,For Sale,1,1,Islamabad,"Top City 1, Islamabad, Islamabad Capital",1.3 ,Top City 1,9500000,27/12/2022
114,Flat 42697554,Signature Hotels 523 Square Feet Flat Available For Sale In Top City 1 If You Hurry,Flat,For Sale,1,-,Islamabad,"Top City 1, Islamabad, Islamabad Capital",2.3 ,Top City 1,20000000,27/12/2022
115,Flat 42757988,Prime Location,Flat,For Sale,-,-,Islamabad,"Top City 1, Islamabad, Islamabad Capital",2.6 ,Top City 1,30000000,27/12/2022
116,Flat 41815824,1 Bed Luxurious Apartment in Gulberg Greens Islamabad with easy 3.5 Years installment plan,Flat,For Sale,1,1,Islamabad,"Gulberg, Islamabad, Islamabad Capital",2.8 ,Gulberg,9500000,27/12/2022
117,Flat 43121253,2 Bed Unfurnished Flat For Sale In E11/3,Flat,For Sale,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",3.3 ,E-11,20000000,25/12/2022
118,Flat 42142509,One Bed Furnished Apartment In Capital Residencia,Flat,For Sale,1,1,Islamabad,"E-11, Islamabad, Islamabad Capital",2.9 ,E-11,10000000,28/12/2022
119,Flat 42788141,Flat For sale In Top City 1,Flat,For Sale,-,-,Islamabad,"Top City 1, Islamabad, Islamabad Capital",1.3 ,Top City 1,20000000,27/12/2022
120,Flat 43175242,2 Bedroom Furnished Flat For Sale,Flat,For Sale,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",5.3 ,E-11,20000000,28/12/2022
121,Flat 41936513,A Stunning Flat Is Up For Grabs In G-11/4 Islamabad,Flat,For Sale,2,2,Islamabad,"G-11, Islamabad, Islamabad Capital",4 ,G-11,20000000,28/12/2022
122,Flat 42001271,G10-2 Flat For Sale,Flat,For Sale,2,2,Islamabad,"G-10, Islamabad, Islamabad Capital",6.2 ,G-10,20000000,27/12/2022
123,Flat 42370692,Capital Residenciea 2 Bed Flat For Sale,Flat,For Sale,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",4 ,E-11,20000000,27/12/2022
124,Flat 43169209,Capital Residenciea Flat For Sale,Flat,For Sale,3,3,Islamabad,"E-11, Islamabad, Islamabad Capital",7.6 ,E-11,20000000,27/12/2022
125,Flat 43003772,Buy A Centrally Located 1150 Square Feet Flat In MPCHS - Multi Gardens,Flat,For Sale,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",5.1 ,B-17,6500000,28/12/2022
126,Flat 43003773,Own A Flat In 750 Square Feet Islamabad,Flat,For Sale,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",3.3 ,B-17,10000000,28/12/2022
127,Flat 43003774,"A Flat Of 750 Square Feet In Rs. 10,000,000",Flat,For Sale,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",3.3 ,B-17,10000000,28/12/2022
128,Flat 43003775,Reserve A Flat Now In MPCHS - Multi Gardens,Flat,For Sale,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",3.3 ,B-17,4500000,28/12/2022
129,Flat 43003776,End Your Search For Flat Here And sale Now,Flat,For Sale,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",6.2 ,B-17,10000000,28/12/2022
130,Flat 43003777,Flat In MPCHS - Multi Gardens For sale,Flat,For Sale,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",4.7 ,B-17,6500000,28/12/2022
131,Flat 43003778,1150 Square Feet Spacious Flat Available In MPCHS - Multi Gardens For sale,Flat,For Sale,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",5.1 ,B-17,6500000,28/12/2022
132,Flat 43003789,"Ideal 750 Square Feet Flat has landed on market in MPCHS - Multi Gardens, Islamabad",Flat,For Sale,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",3.3 ,B-17,4500000,28/12/2022
133,House 42186877,5 Marla Corner Extra Land House Available For Sale In i-10/1,House,For Sale,7,6,Islamabad,"I-10, Islamabad, Islamabad Capital",5 ,I-10,40000000,27/12/2022
134,House 42841145,Elegant House Design Beautiful 1 Kanal New House,House,For Sale,6,6,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",20.0,DHA Defence,110000000,27/12/2022
135,House 43032367,Half Kanal Ready Villa in Eighteen Islamabad,House,For Sale,-,-,Islamabad,"Kashmir Highway, Islamabad, Islamabad Capital",10 ,Kashmir Highway,60000000,27/12/2022
136,House 42973076,1.2 Kanal House For sale in I-8 3,House,For Sale,6,6,Islamabad,"I-8, Islamabad, Islamabad Capital",24.0,I-8,170000000,27/12/2022
137,House 42973611,1 Kanal Double Unit House Best Location Dha Phase 2,House,For Sale,6,6,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",20.0,DHA Defence,80000000,27/12/2022
138,House 43156302,14 Marla Corner Designer House Available For Sale In G-16,House,For Sale,9,8,Islamabad,"G-16, Islamabad, Islamabad Capital",14 ,G-16,70000000,26/12/2022
139,House 43107024,Residential House for Sale in D 12,House,For Sale,5,5,Islamabad,"D-12, Islamabad, Islamabad Capital",10 ,D-12,100000000,26/12/2022
140,House 43090758,Buying A House In G-13 G-13?,House,For Sale,6,6,Islamabad,"G-13, Islamabad, Islamabad Capital",10 ,G-13,70000000,26/12/2022
141,House 42364639,35x70 Double Storey House For Sale In G-10/4,House,For Sale,6,7,Islamabad,"G-10, Islamabad, Islamabad Capital",10 ,G-10,70000000,26/12/2022
142,House 43147269,Beautiful House For Sale In Bhara Kahu,House,For Sale,6,9,Islamabad,"Bhara kahu, Islamabad, Islamabad Capital",22.0,Bhara kahu,60000000,26/12/2022
143,House 41775653,4 Marla Corner House For Sale In G-14 Islamabad,House,For Sale,7,6,Islamabad,"G-14, Islamabad, Islamabad Capital",4 ,G-14,40000000,28/12/2022
144,House 41460283,4 Marla House For Sale In G-14 Islamabad,House,For Sale,5,4,Islamabad,"G-14, Islamabad, Islamabad Capital",4 ,G-14,30000000,28/12/2022
145,House 42956482,Brand New 25x40 House For Sale In G-13/1,House,For Sale,5,4,Islamabad,"G-13, Islamabad, Islamabad Capital",4 ,G-13,30000000,28/12/2022
